call_id,caller_id,caller_number,callee_id,callee_number,timestamp,duration_seconds,call_type,cell_tower_city
CDR00018,SUS0129,+91-9340781088,SUS0121,+91-9337887233,2026-03-25 19:12:00,1292,Data,Indore
CDR00019,SUS0026,+91-9418587604,SUS0051,+91-9688273030,2026-03-10 11:23:30,1407,Voice,Jaipur
CDR00020,SUS0104,+91-9417001612,SUS0115,+91-9497853519,2026-04-07 01:02:00,1646,Voice,Indore
CDR00021,SUS0137,+91-9288650860,SUS0027,+91-9670292350,2026-04-22 22:36:45,1258,Voice,Pune
CDR00022,SUS0048,+91-9925159146,SUS0050,+91-9960514523,2026-08-06 22:03:30,212,Voice,Delhi
CDR00023,SUS0024,+91-9909134796,SUS0069,+91-9536398872,2026-04-02 05:21:30,1544,Voice,Bhopal
CDR00024,SUS0086,+91-9437710224,SUS0049,+91-9926830795,2026-03-20 03:18:15,1544,Voice,Jaipur
CDR00025,SUS0150,+91-9804433388,SUS0149,+91-9877103091,2026-08-07 17:39:00,482,Voice,Nagpur
CDR00026,SUS0009,+91-9326541099,SUS0087,+91-9301415220,2026-04-16 15:56:45,1605,Voice,Mumbai
CDR00027,SUS0140,+91-9529979713,SUS0037,+91-9701170349,2026-08-27 22:08:00,1132,Voice,Pune
CDR00028,SUS0054,+91-9600282414,SUS0120,+91-9156263020,2026-01-24 19:10:00,1453,Data,Indore
CDR00029,SUS0031,+91-9173864104,SUS0040,+91-9399147754,2026-01-03 17:45:15,1739,Data,Pune
CDR00030,SUS0073,+91-9115191689,SUS0094,+91-9899621068,2026-04-01 13:20:45,1537,Voice,Delhi
CDR00031,SUS0107,+91-9135824891,SUS0126,+91-9609241268,2026-03-22 22:21:15,1703,Data,Surat
CDR00032,SUS0148,+91-9403754671,SUS0069,+91-9536398872,2026-03-02 20:29:00,293,Voice,Ahmedabad
CDR00033,SUS0076,+91-9704344408,SUS0095,+91-9235555899,2026-03-17 16:43:45,167,SMS,Amritsar
CDR00034,SUS0099,+91-9855797020,SUS0124,+91-9853529912,2026-01-05 23:28:00,311,SMS,Chandigarh
CDR00035,SUS0116,+91-9396225446,SUS0067,+91-9584044963,2026-08-18 09:30:15,579,Voice,Indore
CDR00036,SUS0149,+91-9877103091,SUS0116,+91-9396225446,2026-06-23 01:26:15,1419,Voice,Delhi
CDR00037,SUS0137,+91-9288650860,SUS0043,+91-9175133802,2026-06-16 06:28:15,768,Voice,Pune
CDR00038,SUS0061,+91-9608482316,SUS0011,+91-9197613238,2026-02-07 03:44:45,330,Data,Amritsar
CDR00039,SUS0143,+91-9706118438,SUS0092,+91-9722687986,2026-02-02 22:21:30,1698,Voice,Chandigarh
CDR00040,SUS0150,+91-9804433388,SUS0058,+91-9811890569,2026-02-22 16:51:15,847,Data,Kanpur
CDR00041,SUS0145,+91-9408246619,SUS0121,+91-9337887233,2026-04-12 11:04:30,1229,Data,Ranchi
CDR00042,SUS0103,+91-9590523712,SUS0029,+91-9319321646,2026-07-08 19:15:00,379,SMS,Lucknow
CDR00043,SUS0011,+91-9197613238,SUS0073,+91-9115191689,2026-03-28 22:25:00,1507,SMS,Amritsar
CDR00044,SUS0137,+91-9288650860,SUS0140,+91-9529979713,2026-05-01 00:46:15,1129,Data,Surat
CDR00045,SUS0117,+91-9458102728,SUS0129,+91-9340781088,2026-08-07 04:21:00,256,Voice,Patna
CDR00046,SUS0115,+91-9497853519,SUS0063,+91-9841541582,2026-01-14 04:46:00,103,Data,Amritsar
CDR00047,SUS0144,+91-9955052486,SUS0085,+91-9212313264,2026-07-04 00:29:00,32,Voice,Lucknow
CDR00048,SUS0100,+91-9562446417,SUS0034,+91-9554811020,2026-04-10 18:57:45,778,SMS,Ranchi
CDR00049,SUS0116,+91-9396225446,SUS0093,+91-9445505799,2026-02-17 19:23:45,699,Voice,Patna
CDR00050,SUS0054,+91-9600282414,SUS0022,+91-9881913386,2026-05-12 02:00:00,1201,Voice,Kanpur
CDR00051,SUS0038,+91-9126614158,SUS0119,+91-9218032515,2026-06-02 18:49:30,736,Voice,Lucknow
CDR00052,SUS0127,+91-9729712082,SUS0045,+91-9995205588,2026-06-02 18:40:30,1229,Voice,Ahmedabad
CDR00053,SUS0030,+91-9907308348,SUS0012,+91-9739830322,2026-04-25 20:56:45,1427,SMS,Bhopal
CDR00054,SUS0040,+91-9399147754,SUS0031,+91-9173864104,2026-08-04 17:48:30,105,Data,Ahmedabad
CDR00055,SUS0070,+91-9361246928,SUS0024,+91-9909134796,2026-01-03 08:29:00,71,SMS,Bhopal
CDR00056,SUS0034,+91-9554811020,SUS0053,+91-9679984033,2026-04-12 08:18:45,274,SMS,Amritsar
CDR00057,SUS0127,+91-9729712082,SUS0066,+91-9677858758,2026-07-16 20:04:30,405,Voice,Jaipur
CDR00058,SUS0054,+91-9600282414,SUS0006,+91-9208449460,2026-08-25 06:44:00,1075,Voice,Nagpur
CDR00059,SUS0122,+91-9531233244,SUS0133,+91-9874807770,2026-03-23 10:10:15,760,SMS,Bhopal
CDR00060,SUS0145,+91-9408246619,SUS0007,+91-9833953718,2026-06-13 07:41:00,955,Voice,Lucknow
CDR00061,SUS0043,+91-9175133802,SUS0080,+91-9350636897,2026-03-08 15:44:00,1375,SMS,Delhi
CDR00062,SUS0045,+91-9995205588,SUS0132,+91-9895609471,2026-04-06 18:43:15,176,Voice,Lucknow
CDR00063,SUS0039,+91-9141580226,SUS0126,+91-9609241268,2026-03-13 12:49:45,1671,Voice,Jaipur
CDR00064,SUS0054,+91-9600282414,SUS0011,+91-9197613238,2026-07-01 02:12:45,199,Voice,Chandigarh
CDR00065,SUS0075,+91-9612957813,SUS0012,+91-9739830322,2026-06-21 05:57:45,694,SMS,Ranchi
CDR00066,SUS0071,+91-9587205269,SUS0004,+91-9469319644,2026-03-28 04:35:30,1692,SMS,Bhopal
CDR00067,SUS0049,+91-9926830795,SUS0056,+91-9888807316,2026-07-01 20:53:15,1292,Voice,Kanpur
CDR00068,SUS0049,+91-9926830795,SUS0063,+91-9841541582,2026-06-12 23:27:00,1041,Voice,Patna
CDR00069,SUS0025,+91-9519212169,SUS0133,+91-9874807770,2026-02-28 04:40:45,1737,Voice,Surat
CDR00070,SUS0059,+91-9450948014,SUS0070,+91-9361246928,2026-04-13 15:28:00,1591,Voice,Ranchi
CDR00071,SUS0115,+91-9497853519,SUS0047,+91-9906528433,2026-01-02 09:55:15,1275,Voice,Ranchi
CDR00072,SUS0040,+91-9399147754,SUS0029,+91-9319321646,2026-02-15 16:10:00,1315,Voice,Surat
CDR00073,SUS0098,+91-9138546365,SUS0105,+91-9900122509,2026-03-01 20:47:30,527,SMS,Delhi
CDR00074,SUS0088,+91-9570423569,SUS0070,+91-9361246928,2026-05-23 04:52:00,723,Voice,Pune
CDR00075,SUS0054,+91-9600282414,SUS0061,+91-9608482316,2026-01-19 12:12:45,1479,Voice,Delhi
CDR00076,SUS0034,+91-9554811020,SUS0092,+91-9722687986,2026-07-08 06:25:15,683,Data,Surat
CDR00077,SUS0050,+91-9960514523,SUS0012,+91-9739830322,2026-01-22 11:04:15,1767,Voice,Bhopal
CDR00078,SUS0064,+91-9810303128,SUS0081,+91-9987588450,2026-07-05 20:13:15,84,Voice,Nagpur
CDR00079,SUS0129,+91-9340781088,SUS0029,+91-9319321646,2026-02-02 17:29:30,868,Voice,Chandigarh
CDR00080,SUS0079,+91-9583724666,SUS0030,+91-9907308348,2026-07-10 18:16:00,806,SMS,Lucknow
CDR00081,SUS0074,+91-9908304440,SUS0017,+91-9751325257,2026-04-20 23:04:15,62,Voice,Ranchi
CDR00082,SUS0104,+91-9417001612,SUS0139,+91-9534900128,2026-03-15 22:54:45,104,Voice,Surat
CDR00083,SUS0060,+91-9475767056,SUS0099,+91-9855797020,2026-08-25 02:31:30,676,SMS,Mumbai
CDR00084,SUS0138,+91-9896760809,SUS0143,+91-9706118438,2026-05-18 09:21:00,847,Voice,Ahmedabad
CDR00085,SUS0110,+91-9963919401,SUS0030,+91-9907308348,2026-01-14 12:26:00,803,Voice,Chandigarh
CDR00086,SUS0133,+91-9874807770,SUS0063,+91-9841541582,2026-03-16 16:25:45,1290,Voice,Pune
CDR00087,SUS0138,+91-9896760809,SUS0010,+91-9899925830,2026-08-22 13:25:45,87,Voice,Ranchi
CDR00088,SUS0034,+91-9554811020,SUS0053,+91-9679984033,2026-07-03 14:22:15,372,SMS,Ranchi
CDR00089,SUS0038,+91-9126614158,SUS0115,+91-9497853519,2026-07-25 22:36:45,723,Voice,Delhi
CDR00090,SUS0095,+91-9235555899,SUS0030,+91-9907308348,2026-01-17 12:19:00,1613,Voice,Pune
CDR00091,SUS0029,+91-9319321646,SUS0078,+91-9323110563,2026-07-22 01:46:45,1402,SMS,Pune
CDR00092,SUS0023,+91-9596743109,SUS0096,+91-9540211187,2026-02-02 23:58:00,1774,Voice,Delhi
CDR00093,SUS0010,+91-9899925830,SUS0022,+91-9881913386,2026-07-16 03:29:30,1479,Data,Amritsar
CDR00094,SUS0100,+91-9562446417,SUS0027,+91-9670292350,2026-03-19 07:36:45,929,Data,Mumbai
CDR00095,SUS0030,+91-9907308348,SUS0012,+91-9739830322,2026-06-22 16:29:45,956,Data,Bhopal
CDR00096,SUS0136,+91-9158821683,SUS0026,+91-9418587604,2026-03-13 11:04:15,1443,Data,Jaipur
CDR00097,SUS0132,+91-9895609471,SUS0119,+91-9218032515,2026-04-15 00:25:15,329,Data,Ahmedabad
CDR00098,SUS0051,+91-9688273030,SUS0053,+91-9679984033,2026-03-01 05:49:45,19,SMS,Nagpur
CDR00099,SUS0055,+91-9922050912,SUS0078,+91-9323110563,2026-02-20 00:36:00,794,Voice,Kanpur
CDR00100,SUS0109,+91-9463692735,SUS0145,+91-9408246619,2026-06-17 04:59:45,343,SMS,Indore
CDR00101,SUS0076,+91-9704344408,SUS0035,+91-9559225330,2026-01-08 21:59:45,1382,Voice,Bhopal
CDR00102,SUS0060,+91-9475767056,SUS0030,+91-9907308348,2026-03-21 04:04:30,1412,Data,Lucknow
CDR00103,SUS0089,+91-9221827951,SUS0042,+91-9649136331,2026-01-18 07:07:30,625,Data,Pune
CDR00104,SUS0145,+91-9408246619,SUS0077,+91-9508427798,2026-07-01 16:32:30,512,Voice,Amritsar
CDR00105,SUS0090,+91-9618079974,SUS0045,+91-9995205588,2026-03-06 05:02:30,1212,Voice,Jaipur
CDR00106,SUS0033,+91-9749431082,SUS0038,+91-9126614158,2026-01-01 04:26:30,298,Data,Jaipur
CDR00107,SUS0027,+91-9670292350,SUS0071,+91-9587205269,2026-02-01 21:37:00,1192,SMS,Ranchi
CDR00108,SUS0044,+91-9848621833,SUS0034,+91-9554811020,2026-08-05 14:03:45,1718,Voice,Kanpur
CDR00109,SUS0093,+91-9445505799,SUS0062,+91-9275842194,2026-02-11 04:19:30,1287,Voice,Indore
CDR00110,SUS0013,+91-9566825638,SUS0023,+91-9596743109,2026-02-14 10:11:15,150,Data,Mumbai
CDR00111,SUS0150,+91-9804433388,SUS0091,+91-9396618390,2026-03-12 11:35:45,1357,SMS,Indore
CDR00112,SUS0009,+91-9326541099,SUS0088,+91-9570423569,2026-04-26 08:53:30,1062,Data,Indore
CDR00113,SUS0011,+91-9197613238,SUS0001,+91-9826600539,2026-06-05 20:25:15,429,Data,Nagpur
CDR00114,SUS0063,+91-9841541582,SUS0055,+91-9922050912,2026-03-08 14:20:30,978,SMS,Bhopal
CDR00115,SUS0052,+91-9659741412,SUS0054,+91-9600282414,2026-01-03 19:24:15,84,Data,Mumbai
CDR00116,SUS0118,+91-9350180427,SUS0089,+91-9221827951,2026-01-11 11:58:30,1215,Voice,Nagpur
CDR00117,SUS0046,+91-9952266893,SUS0139,+91-9534900128,2026-05-11 21:25:45,1502,Voice,Nagpur
CDR00118,SUS0105,+91-9900122509,SUS0148,+91-9403754671,2026-06-22 07:48:30,1769,SMS,Amritsar
CDR00119,SUS0123,+91-9395296179,SUS0062,+91-9275842194,2026-08-17 12:28:15,1177,Voice,Mumbai
CDR00120,SUS0081,+91-9987588450,SUS0124,+91-9853529912,2026-02-22 16:49:15,1711,Voice,Chandigarh
CDR00121,SUS0088,+91-9570423569,SUS0048,+91-9925159146,2026-07-03 09:09:30,171,SMS,Delhi
CDR00122,SUS0126,+91-9609241268,SUS0095,+91-9235555899,2026-07-08 00:56:30,452,SMS,Indore
CDR00123,SUS0133,+91-9874807770,SUS0063,+91-9841541582,2026-03-01 14:07:15,105,Data,Indore
CDR00124,SUS0144,+91-9955052486,SUS0142,+91-9374843786,2026-07-23 15:17:30,339,Voice,Nagpur
CDR00125,SUS0112,+91-9337691219,SUS0125,+91-9586940738,2026-03-04 17:01:00,824,SMS,Jaipur
CDR00126,SUS0055,+91-9922050912,SUS0078,+91-9323110563,2026-07-12 19:04:00,943,Data,Bhopal
CDR00127,SUS0004,+91-9469319644,SUS0093,+91-9445505799,2026-02-22 11:23:00,723,Data,Indore
CDR00128,SUS0128,+91-9874233009,SUS0114,+91-9880179899,2026-03-17 13:08:45,246,Voice,Nagpur
CDR00129,SUS0132,+91-9895609471,SUS0017,+91-9751325257,2026-04-26 12:33:30,814,Voice,Surat
CDR00130,SUS0085,+91-9212313264,SUS0042,+91-9649136331,2026-04-09 05:33:00,1710,Voice,Surat
CDR00131,SUS0087,+91-9301415220,SUS0117,+91-9458102728,2026-02-22 20:26:00,1320,Data,Kanpur
CDR00132,SUS0126,+91-9609241268,SUS0018,+91-9584779555,2026-05-07 09:44:00,931,SMS,Patna
CDR00133,SUS0046,+91-9952266893,SUS0064,+91-9810303128,2026-02-28 21:42:00,828,SMS,Jaipur
CDR00134,SUS0029,+91-9319321646,SUS0149,+91-9877103091,2026-03-08 10:35:00,196,Voice,Surat
CDR00135,SUS0150,+91-9804433388,SUS0091,+91-9396618390,2026-06-05 23:32:15,1581,SMS,Pune
CDR00136,SUS0146,+91-9969533218,SUS0050,+91-9960514523,2026-03-13 10:33:00,163,Voice,Ahmedabad
CDR00137,SUS0053,+91-9679984033,SUS0035,+91-9559225330,2026-01-11 07:41:00,1072,Voice,Pune
CDR00138,SUS0122,+91-9531233244,SUS0018,+91-9584779555,2026-06-06 01:11:30,1646,SMS,Kanpur
CDR00139,SUS0017,+91-9751325257,SUS0074,+91-9908304440,2026-01-23 16:46:45,1351,Voice,Indore
CDR00140,SUS0111,+91-9821920438,SUS0089,+91-9221827951,2026-06-16 05:07:00,475,Voice,Patna
CDR00141,SUS0045,+91-9995205588,SUS0127,+91-9729712082,2026-02-15 09:15:30,410,Voice,Ahmedabad
CDR00142,SUS0093,+91-9445505799,SUS0141,+91-9222435172,2026-05-07 08:50:45,1531,Voice,Nagpur
CDR00143,SUS0116,+91-9396225446,SUS0146,+91-9969533218,2026-03-10 06:16:15,1192,Voice,Patna
CDR00144,SUS0043,+91-9175133802,SUS0026,+91-9418587604,2026-03-08 22:22:45,48,Voice,Jaipur
CDR00145,SUS0141,+91-9222435172,SUS0016,+91-9621828280,2026-05-10 11:01:30,748,Voice,Mumbai
CDR00146,SUS0014,+91-9420452650,SUS0132,+91-9895609471,2026-02-03 06:45:45,38,Data,Delhi
CDR00147,SUS0082,+91-9851333320,SUS0130,+91-9924024405,2026-08-24 11:46:00,275,Data,Bhopal
CDR00148,SUS0132,+91-9895609471,SUS0079,+91-9583724666,2026-06-17 02:44:15,385,Data,Mumbai
CDR00149,SUS0085,+91-9212313264,SUS0046,+91-9952266893,2026-08-01 20:45:30,594,Voice,Bhopal
CDR00150,SUS0054,+91-9600282414,SUS0016,+91-9621828280,2026-05-05 10:59:15,816,Data,Indore
CDR00151,SUS0111,+91-9821920438,SUS0041,+91-9223847257,2026-07-20 03:58:45,1693,SMS,Chandigarh
CDR00152,SUS0093,+91-9445505799,SUS0062,+91-9275842194,2026-02-11 01:56:15,946,Voice,Lucknow
CDR00153,SUS0006,+91-9208449460,SUS0005,+91-9764130526,2026-05-22 14:22:00,1554,Voice,Jaipur
CDR00154,SUS0061,+91-9608482316,SUS0123,+91-9395296179,2026-02-03 17:17:15,1178,Voice,Pune
CDR00155,SUS0126,+91-9609241268,SUS0012,+91-9739830322,2026-01-09 03:13:00,1643,Voice,Bhopal
CDR00156,SUS0103,+91-9590523712,SUS0150,+91-9804433388,2026-01-03 01:11:15,530,Voice,Ahmedabad
CDR00157,SUS0124,+91-9853529912,SUS0038,+91-9126614158,2026-08-27 04:47:15,923,Data,Ahmedabad
CDR00158,SUS0145,+91-9408246619,SUS0046,+91-9952266893,2026-05-17 17:39:00,233,Data,Ranchi
CDR00159,SUS0067,+91-9584044963,SUS0056,+91-9888807316,2026-08-02 07:26:00,1782,Voice,Surat
CDR00160,SUS0144,+91-9955052486,SUS0058,+91-9811890569,2026-01-27 15:40:00,372,SMS,Bhopal
CDR00161,SUS0100,+91-9562446417,SUS0007,+91-9833953718,2026-05-11 12:57:00,1064,Voice,Lucknow
CDR00162,SUS0039,+91-9141580226,SUS0082,+91-9851333320,2026-04-02 13:12:00,1557,Voice,Ranchi
CDR00163,SUS0137,+91-9288650860,SUS0027,+91-9670292350,2026-08-02 23:44:30,1017,Data,Pune
CDR00164,SUS0074,+91-9908304440,SUS0063,+91-9841541582,2026-04-28 14:29:00,998,Data,Jaipur
CDR00165,SUS0006,+91-9208449460,SUS0054,+91-9600282414,2026-03-17 11:21:00,895,Voice,Surat
CDR00166,SUS0147,+91-9190547712,SUS0009,+91-9326541099,2026-08-15 11:35:30,1260,SMS,Ranchi
CDR00167,SUS0043,+91-9175133802,SUS0080,+91-9350636897,2026-06-15 14:31:30,468,Voice,Nagpur
CDR00168,SUS0110,+91-9963919401,SUS0112,+91-9337691219,2026-04-17 02:12:00,48,SMS,Ranchi
CDR00169,SUS0032,+91-9695499669,SUS0085,+91-9212313264,2026-06-20 21:10:30,1740,Voice,Amritsar
CDR00170,SUS0094,+91-9899621068,SUS0054,+91-9600282414,2026-07-16 04:58:45,1692,Voice,Ahmedabad
CDR00171,SUS0001,+91-9826600539,SUS0058,+91-9811890569,2026-04-06 14:33:00,1196,Voice,Bhopal
CDR00172,SUS0018,+91-9584779555,SUS0015,+91-9624636385,2026-04-16 07:59:15,994,Voice,Ranchi
CDR00173,SUS0079,+91-9583724666,SUS0027,+91-9670292350,2026-06-18 19:06:30,358,SMS,Ahmedabad
CDR00174,SUS0122,+91-9531233244,SUS0131,+91-9393421844,2026-04-14 14:24:15,215,Voice,Amritsar
CDR00175,SUS0123,+91-9395296179,SUS0072,+91-9893070706,2026-08-25 21:53:00,126,Voice,Indore
CDR00176,SUS0068,+91-9480990401,SUS0145,+91-9408246619,2026-08-21 17:29:45,347,Data,Chandigarh
CDR00177,SUS0087,+91-9301415220,SUS0059,+91-9450948014,2026-01-01 05:40:45,788,Data,Pune
CDR00178,SUS0060,+91-9475767056,SUS0072,+91-9893070706,2026-06-15 15:53:15,101,SMS,Delhi
CDR00179,SUS0068,+91-9480990401,SUS0011,+91-9197613238,2026-01-02 00:32:00,598,SMS,Lucknow
CDR00180,SUS0088,+91-9570423569,SUS0050,+91-9960514523,2026-02-14 17:14:15,115,SMS,Delhi
CDR00181,SUS0061,+91-9608482316,SUS0123,+91-9395296179,2026-06-09 05:08:30,232,Voice,Mumbai
CDR00182,SUS0072,+91-9893070706,SUS0092,+91-9722687986,2026-06-20 14:58:30,16,Voice,Jaipur
CDR00183,SUS0088,+91-9570423569,SUS0082,+91-9851333320,2026-02-03 08:59:15,23,Voice,Mumbai
CDR00184,SUS0108,+91-9679184667,SUS0080,+91-9350636897,2026-01-13 18:57:30,1600,Data,Jaipur
CDR00185,SUS0119,+91-9218032515,SUS0053,+91-9679984033,2026-07-19 11:17:15,923,Voice,Surat
CDR00186,SUS0146,+91-9969533218,SUS0085,+91-9212313264,2026-03-28 09:50:30,454,SMS,Surat
CDR00187,SUS0145,+91-9408246619,SUS0077,+91-9508427798,2026-01-21 23:19:00,525,SMS,Patna
CDR00188,SUS0050,+91-9960514523,SUS0096,+91-9540211187,2026-01-04 20:33:45,1773,Voice,Chandigarh
CDR00189,SUS0006,+91-9208449460,SUS0039,+91-9141580226,2026-02-19 18:57:15,646,SMS,Pune
CDR00190,SUS0070,+91-9361246928,SUS0050,+91-9960514523,2026-01-03 07:35:45,487,Voice,Patna
CDR00191,SUS0014,+91-9420452650,SUS0038,+91-9126614158,2026-05-06 12:40:15,1535,SMS,Ranchi
CDR00192,SUS0001,+91-9826600539,SUS0089,+91-9221827951,2026-02-07 05:16:30,37,Voice,Pune
CDR00193,SUS0011,+91-9197613238,SUS0008,+91-9787194506,2026-08-04 12:22:30,296,Voice,Lucknow
CDR00194,SUS0001,+91-9826600539,SUS0085,+91-9212313264,2026-05-10 11:29:00,1290,SMS,Jaipur
CDR00195,SUS0093,+91-9445505799,SUS0006,+91-9208449460,2026-08-22 19:27:00,1140,SMS,Chandigarh
CDR00196,SUS0137,+91-9288650860,SUS0007,+91-9833953718,2026-08-12 23:27:30,1752,Data,Patna
CDR00197,SUS0003,+91-9271432881,SUS0109,+91-9463692735,2026-02-09 04:19:15,806,Voice,Nagpur
CDR00198,SUS0146,+91-9969533218,SUS0114,+91-9880179899,2026-05-01 16:50:15,1045,Voice,Jaipur
CDR00199,SUS0043,+91-9175133802,SUS0126,+91-9609241268,2026-02-25 17:28:00,1072,Voice,Mumbai
CDR00200,SUS0026,+91-9418587604,SUS0082,+91-9851333320,2026-08-13 19:15:15,755,SMS,Nagpur
CDR00201,SUS0040,+91-9399147754,SUS0092,+91-9722687986,2026-08-06 04:46:15,1208,Voice,Delhi
CDR00202,SUS0114,+91-9880179899,SUS0145,+91-9408246619,2026-02-08 14:39:00,597,Voice,Indore
CDR00203,SUS0033,+91-9749431082,SUS0001,+91-9826600539,2026-03-16 13:52:45,1102,Voice,Lucknow
CDR00204,SUS0054,+91-9600282414,SUS0031,+91-9173864104,2026-06-09 00:40:00,697,SMS,Bhopal
CDR00205,SUS0135,+91-9219066986,SUS0011,+91-9197613238,2026-04-02 05:45:45,1647,Voice,Surat
CDR00206,SUS0141,+91-9222435172,SUS0023,+91-9596743109,2026-03-13 10:00:45,831,Voice,Ahmedabad
CDR00207,SUS0108,+91-9679184667,SUS0043,+91-9175133802,2026-07-21 18:59:00,1506,Voice,Delhi
CDR00208,SUS0070,+91-9361246928,SUS0147,+91-9190547712,2026-02-11 02:07:15,983,Voice,Mumbai
CDR00209,SUS0102,+91-9599561877,SUS0032,+91-9695499669,2026-08-16 01:05:45,638,SMS,Lucknow
CDR00210,SUS0070,+91-9361246928,SUS0088,+91-9570423569,2026-05-15 11:35:30,52,Data,Amritsar
CDR00211,SUS0123,+91-9395296179,SUS0021,+91-9807577342,2026-07-11 22:15:30,1150,SMS,Chandigarh
CDR00212,SUS0038,+91-9126614158,SUS0079,+91-9583724666,2026-04-21 12:21:30,1367,SMS,Jaipur
CDR00213,SUS0127,+91-9729712082,SUS0066,+91-9677858758,2026-05-15 02:07:45,115,SMS,Amritsar
CDR00214,SUS0077,+91-9508427798,SUS0132,+91-9895609471,2026-02-25 10:06:30,1141,Voice,Nagpur
CDR00215,SUS0093,+91-9445505799,SUS0137,+91-9288650860,2026-01-10 09:55:45,1117,SMS,Surat
CDR00216,SUS0129,+91-9340781088,SUS0120,+91-9156263020,2026-05-10 14:58:00,896,Data,Surat
CDR00217,SUS0080,+91-9350636897,SUS0090,+91-9618079974,2026-01-15 09:23:15,1666,SMS,Lucknow
CDR00218,SUS0049,+91-9926830795,SUS0091,+91-9396618390,2026-05-04 17:23:30,1645,SMS,Nagpur
CDR00219,SUS0078,+91-9323110563,SUS0029,+91-9319321646,2026-02-01 22:49:00,696,Voice,Pune
CDR00220,SUS0119,+91-9218032515,SUS0149,+91-9877103091,2026-01-22 15:36:30,428,SMS,Nagpur
CDR00221,SUS0070,+91-9361246928,SUS0084,+91-9799552991,2026-05-25 01:34:30,1630,Voice,Pune
CDR00222,SUS0121,+91-9337887233,SUS0114,+91-9880179899,2026-01-11 06:23:45,311,Voice,Jaipur
CDR00223,SUS0042,+91-9649136331,SUS0032,+91-9695499669,2026-07-13 13:35:45,1774,Voice,Jaipur
CDR00224,SUS0025,+91-9519212169,SUS0133,+91-9874807770,2026-06-09 06:03:00,570,SMS,Mumbai
CDR00225,SUS0004,+91-9469319644,SUS0093,+91-9445505799,2026-05-08 05:07:15,76,Data,Patna
CDR00226,SUS0042,+91-9649136331,SUS0086,+91-9437710224,2026-02-23 11:01:15,1242,Voice,Mumbai
CDR00227,SUS0109,+91-9463692735,SUS0121,+91-9337887233,2026-04-26 03:04:00,1510,Voice,Nagpur
CDR00228,SUS0046,+91-9952266893,SUS0085,+91-9212313264,2026-07-16 11:16:45,1681,SMS,Pune
CDR00229,SUS0023,+91-9596743109,SUS0092,+91-9722687986,2026-03-08 21:04:45,1281,SMS,Delhi
CDR00230,SUS0149,+91-9877103091,SUS0084,+91-9799552991,2026-06-22 17:07:30,809,Voice,Ahmedabad
CDR00231,SUS0038,+91-9126614158,SUS0142,+91-9374843786,2026-04-01 22:49:00,1611,Voice,Ahmedabad
CDR00232,SUS0068,+91-9480990401,SUS0013,+91-9566825638,2026-03-03 19:22:15,1229,Voice,Nagpur
CDR00233,SUS0005,+91-9764130526,SUS0057,+91-9829223044,2026-06-28 04:51:15,21,Voice,Lucknow
CDR00234,SUS0045,+91-9995205588,SUS0099,+91-9855797020,2026-08-10 13:05:30,1040,SMS,Amritsar
CDR00235,SUS0053,+91-9679984033,SUS0102,+91-9599561877,2026-03-02 02:17:15,275,Voice,Mumbai
CDR00236,SUS0130,+91-9924024405,SUS0136,+91-9158821683,2026-07-14 00:45:45,831,Data,Ranchi
