suspect_id,name,age,gender,city,gang_affiliation,role_in_network,primary_crime_type,risk_level,phone_number,prior_cases_count,degree,weighted_degree,clustering_coeff,betweenness,eigenvector_centrality,community_id,call_count,total_sent_inr,total_received_inr,flagged_txn_count,fir_count,suspicious_post_count
SUS0013,Gaurav Sharma,26,M,Nagpur,GANG09,Informant,Money Laundering,Low,+91-9566825638,1,8,39,0.32142857142857145,0.01641059682062904,0.056904504842563756,8,32,1103187.47,3120533.79,4.0,1.0,6.0
SUS0014,Pooja Rathore,51,M,Ranchi,GANG03,Associate,Cyber Fraud,High,+91-9420452650,6,7,30,0.23809523809523808,0.05152082594457435,0.04353497886803924,2,28,4024935.25,1276044.01,7.0,4.0,4.0
SUS0015,Yash Gupta,28,F,Kanpur,GANG03,Associate,Drug Trafficking,Medium,+91-9624636385,0,5,22,0.6,0.0016506926640198697,0.011073504053874807,2,15,1243521.51,1247380.37,5.0,2.0,1.0
SUS0016,Nitin Malik,34,F,Delhi,GANG04,Unknown,Cyber Fraud,Low,+91-9621828280,6,2,8,1.0,0.0,0.060448785296132845,5,18,1071682.4100000001,1228053.18,2.0,4.0,2.0
SUS0017,Kavita Iyer,27,M,Pune,GANG11,Enforcer,Extortion,Low,+91-9751325257,3,5,18,0.0,0.03705771252622065,0.02034039425395327,9,31,758705.3200000001,396272.69,4.0,3.0,2.0
SUS0018,Gaurav Gupta,38,M,Bhopal,GANG11,Associate,Organized Robbery,High,+91-9584779555,0,5,19,0.2,0.01547739876962245,0.01951378731584126,9,20,2003162.0100000002,1673514.27,5.0,1.0,1.0
SUS0019,Suresh Reddy,20,F,Surat,GANG09,Courier,Human Trafficking,Low,+91-9860038427,5,3,12,0.6666666666666666,1.0557432432432433e-05,0.01701375602420247,8,30,2255372.42,527202.15,4.0,2.0,3.0
SUS0020,Suresh Verma,40,M,Mumbai,GANG09,Courier,Organized Robbery,Low,+91-9242068763,5,5,17,0.1,0.008964087240157778,0.029027352625243273,8,25,2113615.09,248065.56,3.0,2.0,4.0
SUS0021,Rakesh Khan,34,M,Ranchi,GANG08,Informant,Human Trafficking,Low,+91-9807577342,3,2,7,0.0,0.00031850443242848305,0.010871421526164415,3,22,1020904.72,1069181.22,1.0,4.0,1.0
SUS0022,Sameer Shah,22,M,Nagpur,GANG11,Unknown,Cyber Fraud,Low,+91-9881913386,2,7,32,0.14285714285714285,0.04329490736303329,0.06061441524664247,9,21,2003904.64,1295995.42,8.0,4.0,1.0
SUS0023,Vikram Chauhan,31,M,Jaipur,GANG09,Enforcer,Kidnapping,Low,+91-9596743109,1,6,24,0.3333333333333333,0.0017048448551167958,0.035869401743300194,8,30,124719.13,928960.0299999999,1.0,1.0,3.0
SUS0024,Suresh Shah,54,M,Mumbai,GANG01,Associate,Drug Trafficking,Critical,+91-9909134796,6,8,30,0.39285714285714285,0.027447384407946494,0.06202205772332624,4,26,1272594.83,2994171.19,5.0,5.0,0.0
SUS0025,Sameer Khan,49,M,Jaipur,GANG07,Unknown,Extortion,Medium,+91-9519212169,2,3,13,0.0,0.001795733573567958,0.024750054272227793,11,25,429263.16,546255.35,4.0,6.0,2.0
SUS0026,Sunita Shah,37,M,Bhopal,GANG12,Unknown,Organized Robbery,Low,+91-9418587604,1,7,36,0.3333333333333333,0.01596679300329589,0.03518099981186773,10,28,1072437.01,1149356.92,3.0,1.0,7.0
SUS0027,Rakesh Iyer,22,F,Patna,GANG06,Financier,Organized Robbery,Medium,+91-9670292350,1,9,39,0.4166666666666667,0.027396097303697933,0.13411615714391276,6,21,1017521.5,2177756.28,3.0,5.0,2.0
SUS0028,Anil Yadav,30,M,Mumbai,GANG10,Financier,Human Trafficking,Medium,+91-9711684318,1,9,42,0.6944444444444444,0.004421688338261007,0.07885901742416646,0,32,1919254.6500000001,994704.3600000001,7.0,5.0,2.0
SUS0029,Rahul Yadav,45,M,Nagpur,GANG10,Associate,Money Laundering,Critical,+91-9319321646,5,8,39,0.5357142857142857,0.018460635715633875,0.08195860679588027,0,22,2642506.72,3459705.87,6.0,2.0,2.0
SUS0030,Deepak Rathore,44,F,Pune,GANG11,Associate,Organized Robbery,Medium,+91-9907308348,0,7,26,0.23809523809523808,0.012934544564766396,0.023144574778609782,9,22,2484362.27,993149.4400000001,7.0,3.0,2.0
SUS0031,Yash Singh,23,M,Ahmedabad,GANG04,Associate,Extortion,Critical,+91-9173864104,1,9,38,0.3055555555555556,0.0193679183984945,0.20511182570303166,5,29,2253828.81,1368496.75,6.0,7.0,3.0
SUS0032,Sanjay Shah,53,M,Patna,GANG05,Associate,Drug Trafficking,High,+91-9695499669,2,10,54,0.37777777777777777,0.046535391960940746,0.13080415150097308,1,39,2752785.69,3697232.66,5.0,4.0,2.0
SUS0033,Vikram Kumar,35,M,Mumbai,GANG02,Associate,Extortion,Low,+91-9749431082,1,6,35,0.4666666666666667,0.009943746100810058,0.023050586671184283,7,28,2076015.22,4577813.08,4.0,3.0,2.0
SUS0034,Arjun Rathore,51,M,Indore,GANG05,Unknown,Drug Trafficking,Low,+91-9554811020,6,9,37,0.4722222222222222,0.007804593804783163,0.12332974769898379,1,29,3623567.58,76147.66,5.0,2.0,1.0
SUS0035,Amit Reddy,27,F,Nagpur,GANG05,Courier,Organized Robbery,Medium,+91-9559225330,4,5,17,0.7,0.0006949636524282839,0.07206699841235983,1,25,1573521.44,565014.1,4.0,7.0,5.0
SUS0036,Suresh Kumar,53,M,Delhi,GANG06,Associate,Extortion,Medium,+91-9144913399,2,9,33,0.3611111111111111,0.0306516761523559,0.1536544342607769,6,33,3084313.79,218425.22999999998,8.0,3.0,2.0
SUS0037,Sunita Verma,41,M,Jaipur,GANG11,Courier,Cyber Fraud,Medium,+91-9701170349,6,4,13,0.16666666666666666,0.0033432314902903143,0.011898009972293566,9,26,101903.94,1530174.9,1.0,3.0,3.0
SUS0038,Yash Kumar,34,M,Chandigarh,GANG03,Unknown,Extortion,High,+91-9126614158,1,6,33,0.6,0.00293199794549385,0.012682343387378187,2,30,1167161.66,867771.86,3.0,4.0,1.0
SUS0039,Karan Patel,34,M,Lucknow,GANG03,Informant,Cyber Fraud,Medium,+91-9141580226,6,4,25,0.5,0.000596626416938917,0.0060523051396651935,2,26,3204539.03,1316190.83,6.0,2.0,1.0
SUS0040,Arjun Shah,41,F,Lucknow,GANG04,Courier,Human Trafficking,Medium,+91-9399147754,6,7,24,0.2857142857142857,0.027380212043503705,0.14740862528084395,5,30,2229398.83,3177768.11,8.0,4.0,2.0
SUS0041,Kavita Rathore,41,M,Nagpur,GANG09,Enforcer,Money Laundering,Critical,+91-9223847257,2,6,30,0.26666666666666666,0.016054346901674087,0.04096984720234828,8,33,1748482.37,721322.13,6.0,4.0,1.0
SUS0042,Manoj Verma,25,M,Surat,GANG07,Recruiter,Money Laundering,Medium,+91-9649136331,0,6,27,0.13333333333333333,0.029372622173633216,0.06659122691487329,11,21,429122.4,1364353.97,4.0,2.0,3.0
SUS0043,Rakesh Gupta,35,M,Delhi,GANG12,Enforcer,Human Trafficking,Medium,+91-9175133802,5,6,34,0.4666666666666667,0.004546867296964047,0.024170494456773033,10,24,1585180.15,603200.68,6.0,4.0,4.0
SUS0044,Yash Reddy,26,M,Patna,GANG05,Associate,Kidnapping,Medium,+91-9848621833,2,7,30,0.5714285714285714,0.002598695943818803,0.10557071231721667,1,26,31236.18,1609375.16,3.0,3.0,4.0
SUS0045,Arjun Patel,43,M,Nagpur,GANG12,Unknown,Arms Smuggling,Medium,+91-9995205588,0,7,26,0.14285714285714285,0.05393955333512785,0.028192337083091695,10,29,1528945.84,71172.57,8.0,1.0,2.0
SUS0046,Arjun Patel,39,M,Indore,GANG08,Enforcer,Human Trafficking,Medium,+91-9952266893,6,10,45,0.37777777777777777,0.023604344899055295,0.07127677882110671,3,33,2101150.1799999997,1882253.8299999998,4.0,5.0,4.0
SUS0047,Neha Yadav,37,M,Ahmedabad,GANG11,Associate,Money Laundering,Low,+91-9906528433,1,8,26,0.25,0.025294409937291946,0.03125629405118182,9,26,945097.45,2414514.2800000003,2.0,4.0,2.0
SUS0048,Deepak Gupta,28,M,Delhi,GANG01,Courier,Organized Robbery,Medium,+91-9925159146,0,5,21,0.2,0.012581993815205134,0.07291355377148122,4,23,203034.72,5781866.17,3.0,5.0,3.0
SUS0049,Priya Gupta,43,M,Indore,GANG07,Courier,Drug Trafficking,High,+91-9926830795,0,9,32,0.3055555555555556,0.022192790047422625,0.06752864200852603,11,41,1746921.29,835309.34,3.0,4.0,2.0
SUS0050,Deepak Mehta,52,M,Indore,GANG01,Associate,Cyber Fraud,Medium,+91-9960514523,3,6,29,0.3333333333333333,0.011477030546907676,0.04405547198817532,4,25,1254166.2,1253695.73,3.0,3.0,1.0
SUS0051,Gaurav Reddy,47,M,Surat,GANG12,Unknown,Kidnapping,High,+91-9688273030,3,6,21,0.26666666666666666,0.010565868059641393,0.03535523813026285,10,23,982145.3,2431805.5,1.0,6.0,1.0
SUS0052,Pooja Khan,47,M,Lucknow,GANG04,Informant,Arms Smuggling,High,+91-9659741412,3,4,14,0.3333333333333333,0.01105866259665244,0.08994250408503256,5,25,283150.62,1943622.64,2.0,3.0,2.0
SUS0053,Manoj Shah,23,F,Patna,GANG05,Courier,Money Laundering,Medium,+91-9679984033,0,8,29,0.35714285714285715,0.013747955494926824,0.10659319984029364,1,32,1181928.24,190701.28,2.0,6.0,1.0
SUS0054,Deepak Joshi,28,F,Patna,GANG04,Financier,Kidnapping,Medium,+91-9600282414,3,18,67,0.16339869281045752,0.1644102190329805,0.3145008943458191,5,38,3490468.0,2492172.99,10.0,6.0,2.0
SUS0055,Meena Patel,43,M,Amritsar,GANG10,Unknown,Drug Trafficking,High,+91-9922050912,4,6,28,0.8666666666666667,0.00028003342876760595,0.058688153809996715,0,19,3114867.37,3929635.61,5.0,3.0,2.0
SUS0056,Amit Nair,38,M,Ranchi,GANG07,Unknown,Kidnapping,Medium,+91-9888807316,4,8,29,0.25,0.06339581412211781,0.055366336693676355,11,26,777877.3300000001,1629982.36,5.0,8.0,1.0
SUS0057,Deepak Khan,33,M,Lucknow,GANG07,Enforcer,Kidnapping,Medium,+91-9829223044,6,5,23,0.2,0.006736084505071846,0.028314744235891805,11,30,1912074.3900000001,620172.14,4.0,9.0,4.0
SUS0058,Sanjay Shah,27,F,Surat,GANG09,Kingpin,Kidnapping,Medium,+91-9811890569,0,8,38,0.35714285714285715,0.016057939378981,0.05354240403885064,8,33,2033672.6600000001,550065.59,5.0,4.0,2.0
SUS0059,Sameer Kumar,48,M,Pune,GANG01,Courier,Money Laundering,Low,+91-9450948014,2,6,28,0.7333333333333333,0.000806683718076123,0.04337918673227463,4,28,4079037.89,678145.6799999999,7.0,7.0,4.0
SUS0060,Pankaj Rathore,45,M,Lucknow,GANG02,Enforcer,Drug Trafficking,Critical,+91-9475767056,1,6,24,0.4666666666666667,0.023286452408385824,0.013839441705054899,7,20,329906.59,90676.23999999999,2.0,2.0,1.0
SUS0061,Kavita Verma,20,F,Jaipur,GANG04,Informant,Extortion,Low,+91-9608482316,5,9,35,0.4722222222222222,0.010617210432567688,0.20684863922352248,5,25,2312199.85,776066.38,6.0,0.0,1.0
SUS0062,Arjun Shah,35,F,Ranchi,GANG06,Courier,Cyber Fraud,High,+91-9275842194,2,7,33,0.6190476190476191,0.006237610977874091,0.11881098665668892,6,31,913241.1,2132188.13,4.0,2.0,4.0
SUS0063,Amit Malik,55,M,Nagpur,GANG07,Enforcer,Human Trafficking,Low,+91-9841541582,6,7,30,0.5238095238095238,0.003018924246508457,0.05238952657442494,11,28,1055834.63,1851068.25,6.0,2.0,3.0
SUS0064,Vikram Malik,26,F,Ranchi,GANG10,Informant,Money Laundering,Medium,+91-9810303128,2,8,33,0.2857142857142857,0.053210798013487125,0.06155345767978625,0,28,1093850.1300000001,3473450.65,4.0,5.0,2.0
SUS0065,Priya Reddy,19,M,Chandigarh,GANG07,Informant,Cyber Fraud,Medium,+91-9488896443,5,6,23,0.4666666666666667,0.00445605498648262,0.041648559042205054,11,22,1634329.55,1155615.53,3.0,5.0,0.0
SUS0066,Ajay Kumar,46,M,Pune,GANG12,Associate,Arms Smuggling,Medium,+91-9677858758,6,7,29,0.23809523809523808,0.03325410997254554,0.04211945568538677,10,23,422920.11,1874955.8900000001,2.0,4.0,1.0
SUS0067,Sameer Rathore,39,M,Chandigarh,GANG04,Informant,Cyber Fraud,Low,+91-9584044963,1,6,28,0.26666666666666666,0.02200625054685683,0.13255665121251295,5,26,680089.2000000001,944485.17,4.0,4.0,1.0
SUS0068,Rakesh Joshi,40,M,Delhi,GANG08,Unknown,Extortion,Medium,+91-9480990401,6,8,32,0.32142857142857145,0.03711400265781266,0.0726488653483603,3,28,2555136.57,565534.99,5.0,9.0,2.0
SUS0069,Manoj Rathore,54,M,Delhi,GANG09,Unknown,Cyber Fraud,Low,+91-9536398872,3,5,22,0.3,0.0026540427601484933,0.027090298660980575,8,23,1306161.17,1516796.68,5.0,1.0,3.0
SUS0070,Deepak Khan,50,M,Indore,GANG01,Financier,Human Trafficking,Medium,+91-9361246928,2,7,33,0.6666666666666666,0.0018755671754792597,0.05239294805952659,4,22,3018481.48,626181.8,7.0,2.0,5.0
SUS0071,Nitin Khan,54,M,Ahmedabad,GANG06,Enforcer,Money Laundering,Medium,+91-9587205269,2,9,52,0.4444444444444444,0.01242292715991065,0.15099284682676598,6,30,1884453.95,1685965.9,2.0,4.0,0.0
SUS0072,Deepak Singh,31,M,Kanpur,GANG02,Associate,Extortion,Low,+91-9893070706,3,6,27,0.4,0.020774439879110717,0.03109973137314215,7,29,317772.33,562414.12,2.0,2.0,2.0
SUS0073,Rakesh Das,37,M,Mumbai,GANG04,Recruiter,Money Laundering,Low,+91-9115191689,5,7,33,0.3333333333333333,0.016858081871646776,0.1559027742401759,5,38,832686.98,1735471.8,6.0,2.0,3.0
SUS0074,Manoj Verma,22,F,Ahmedabad,GANG05,Associate,Extortion,Medium,+91-9908304440,3,8,31,0.5,0.03320144689551082,0.14221992823182214,1,30,1896185.94,22590.13,7.0,2.0,3.0
SUS0075,Amit Malik,49,M,Indore,GANG08,Recruiter,Drug Trafficking,Low,+91-9612957813,0,6,23,0.4,0.031104968523105066,0.0474419756535465,3,30,3793004.02,1421890.39,7.0,4.0,2.0
SUS0076,Pankaj Khan,23,F,Surat,GANG11,Associate,Extortion,Low,+91-9704344408,2,4,11,0.0,0.013463830637543877,0.01229673725045442,9,25,857584.21,158682.3,3.0,3.0,1.0
SUS0077,Deepak Singh,54,M,Ranchi,GANG07,Associate,Human Trafficking,High,+91-9508427798,3,6,22,0.4,0.007836446337416002,0.046534789375590795,11,18,1703484.5899999999,5780853.13,4.0,1.0,3.0
SUS0078,Ravi Patel,38,M,Surat,GANG10,Financier,Cyber Fraud,Critical,+91-9323110563,5,7,32,0.7142857142857143,0.0005572017370311259,0.06345978997854204,0,27,974633.3500000001,1428898.3900000001,4.0,2.0,0.0
SUS0079,Neha Yadav,29,M,Jaipur,GANG03,Associate,Extortion,Low,+91-9583724666,5,4,14,0.8333333333333334,0.00017844381125631126,0.007126100519968624,2,17,1537099.9,28028.16,5.0,5.0,6.0
SUS0080,Ravi Verma,33,M,Lucknow,GANG12,Recruiter,Organized Robbery,Low,+91-9350636897,2,6,30,0.4,0.007293723734258476,0.02889383902808969,10,31,1447084.32,2091680.8,3.0,2.0,6.0
SUS0081,Priya Gupta,46,F,Mumbai,GANG09,Courier,Extortion,Critical,+91-9987588450,1,7,31,0.2857142857142857,0.015728970775332876,0.0444979588266842,8,21,1348154.57,1218686.85,5.0,3.0,0.0
SUS0082,Sanjay Malik,55,M,Amritsar,GANG05,Enforcer,Organized Robbery,High,+91-9851333320,3,9,33,0.2777777777777778,0.03938069117457671,0.10199042844074342,1,32,4525839.19,280985.95,7.0,3.0,2.0
SUS0083,Anil Iyer,50,F,Indore,GANG02,Associate,Kidnapping,High,+91-9748232591,2,6,35,0.6666666666666666,0.0028469287931046747,0.012362761353330814,7,28,2347469.5100000002,909850.44,6.0,2.0,2.0
SUS0084,Deepak Sharma,36,M,Surat,GANG01,Informant,Extortion,Medium,+91-9799552991,3,8,35,0.5,0.012591944592190488,0.05713419222851099,4,33,672771.22,2793558.29,2.0,1.0,5.0
SUS0085,Sanjay Patel,50,M,Mumbai,GANG08,Recruiter,Money Laundering,Medium,+91-9212313264,6,7,24,0.2857142857142857,0.032821841361011676,0.06901106529502775,3,24,2354740.64,1693781.59,5.0,2.0,3.0
SUS0086,Sameer Khan,37,M,Nagpur,GANG07,Informant,Drug Trafficking,Medium,+91-9437710224,2,5,20,0.5,0.002937482890317643,0.04434320426718622,11,23,1380166.44,923009.61,5.0,5.0,2.0
SUS0087,Kavita Joshi,51,M,Chandigarh,GANG01,Associate,Organized Robbery,Medium,+91-9301415220,4,7,34,0.23809523809523808,0.023110291583476585,0.03829620564191001,4,25,1323481.07,646774.39,4.0,5.0,4.0
SUS0088,Kavita Khan,47,M,Ranchi,GANG01,Courier,Extortion,Critical,+91-9570423569,5,9,39,0.2777777777777778,0.04924248767897665,0.07213038518625099,4,26,4728606.05,821899.62,12.0,3.0,1.0
SUS0089,Amit Chauhan,29,M,Lucknow,GANG09,Kingpin,Kidnapping,Low,+91-9221827951,3,8,36,0.35714285714285715,0.020279942751812073,0.06008340547213947,8,32,1263773.33,3424021.35,4.0,5.0,4.0
SUS0090,Priya Kumar,50,M,Amritsar,GANG12,Recruiter,Arms Smuggling,Medium,+91-9618079974,3,8,33,0.25,0.04002614953976562,0.027563382214734672,10,24,964183.88,1565373.07,2.0,5.0,4.0
SUS0091,Gaurav Kumar,43,M,Jaipur,GANG10,Associate,Extortion,High,+91-9396618390,6,8,33,0.5714285714285714,0.015218844515958457,0.06460513647282555,0,21,1332024.77,1302753.14,6.0,5.0,3.0
SUS0092,Sameer Reddy,51,M,Lucknow,GANG01,Recruiter,Arms Smuggling,High,+91-9722687986,5,7,26,0.5238095238095238,0.009559009038861014,0.06444371771043218,4,23,782983.67,2735924.25,2.0,4.0,2.0
SUS0093,Rohan Shah,53,M,Indore,GANG06,Recruiter,Kidnapping,Medium,+91-9445505799,6,10,36,0.28888888888888886,0.014677372854322118,0.16750531711696953,6,20,1189953.42,1319776.4100000001,5.0,8.0,2.0
SUS0094,Anjali Chauhan,55,M,Bhopal,GANG04,Unknown,Kidnapping,Low,+91-9899621068,3,8,34,0.4642857142857143,0.004355439089472965,0.19178141998507614,5,34,1210127.8,1564245.42,3.0,3.0,1.0
SUS0095,Sunita Joshi,43,M,Nagpur,GANG11,Unknown,Organized Robbery,Critical,+91-9235555899,4,4,15,0.3333333333333333,0.001227265542232035,0.01019828738758931,9,20,170967.18,3363308.7800000003,3.0,2.0,3.0
SUS0096,Karan Singh,47,M,Mumbai,GANG09,Unknown,Drug Trafficking,High,+91-9540211187,6,8,32,0.21428571428571427,0.016386972362479102,0.03738126054700262,8,29,1386233.11,2544679.27,4.0,2.0,3.0
SUS0097,Rohan Yadav,49,M,Ranchi,GANG05,Recruiter,Kidnapping,Medium,+91-9452794611,6,7,27,0.5714285714285714,0.014133104545790054,0.10326212349790241,1,26,655976.76,405870.63,3.0,3.0,1.0
SUS0098,Gaurav Joshi,39,F,Nagpur,GANG12,Unknown,Organized Robbery,High,+91-9138546365,4,4,20,0.6666666666666666,0.001007413099096222,0.016489152323305927,10,24,1129658.49,1649768.12,3.0,6.0,1.0
SUS0099,Priya Malik,33,F,Patna,GANG02,Enforcer,Cyber Fraud,High,+91-9855797020,6,6,31,0.5333333333333333,0.021668394923380664,0.016293876639864407,7,26,1096989.69,1597139.84,5.0,3.0,5.0
SUS0100,Sanjay Malik,20,M,Delhi,GANG06,Informant,Arms Smuggling,Medium,+91-9562446417,1,4,17,0.8333333333333334,0.00013211163277785528,0.07290648210743637,6,27,1098611.28,1869690.81,4.0,2.0,1.0
SUS0101,Sameer Mehta,29,M,Pune,GANG02,Associate,Kidnapping,Medium,+91-9358589021,3,5,24,0.4,0.011768708372669969,0.014845194310122645,7,27,111899.36,517399.73000000004,2.0,1.0,2.0
SUS0102,Rohan Chauhan,48,M,Nagpur,GANG05,Enforcer,Drug Trafficking,High,+91-9599561877,2,9,37,0.5833333333333334,0.0030918404360499945,0.13054876269155025,1,33,1615200.94,1771533.79,4.0,3.0,5.0
SUS0103,Sanjay Yadav,47,M,Kanpur,GANG10,Recruiter,Kidnapping,High,+91-9590523712,6,8,42,0.6785714285714286,0.0032779061901484128,0.07151521707028118,0,29,4313466.31,1322422.2300000002,10.0,7.0,2.0
SUS0104,Pankaj Khan,25,M,Jaipur,GANG07,Associate,Arms Smuggling,Critical,+91-9417001612,0,10,39,0.15555555555555556,0.04075666257538295,0.05746700555048623,11,26,1264715.06,217415.64,7.0,6.0,0.0
SUS0105,Neha Joshi,36,M,Delhi,GANG10,Unknown,Drug Trafficking,Critical,+91-9900122509,3,6,32,0.7333333333333333,0.00238755987134386,0.05601782087597694,0,25,907657.14,1812035.67,3.0,6.0,2.0
SUS0106,Ravi Chauhan,41,M,Jaipur,GANG11,Courier,Arms Smuggling,High,+91-9874090950,6,4,14,0.0,0.004184525449417481,0.014594122635324029,9,31,2663493.48,177795.1,8.0,2.0,1.0
SUS0107,Meena Kumar,25,M,Amritsar,GANG11,Associate,Arms Smuggling,High,+91-9135824891,4,6,24,0.0,0.027390983821741113,0.025634449398110513,9,30,1538478.3399999999,608235.5700000001,5.0,2.0,2.0
SUS0108,Rohan Yadav,37,M,Kanpur,GANG12,Enforcer,Human Trafficking,Low,+91-9679184667,2,6,33,0.6,0.0010927342414684185,0.021131672091134823,10,17,315272.71,2335298.88,3.0,3.0,4.0
SUS0109,Manoj Mehta,35,F,Amritsar,GANG08,Unknown,Arms Smuggling,High,+91-9463692735,6,7,37,0.14285714285714285,0.03173062920331291,0.049120664443322255,3,33,620149.55,3182078.48,4.0,2.0,5.0
SUS0110,Suresh Kumar,33,M,Chandigarh,GANG11,Associate,Kidnapping,Critical,+91-9963919401,4,6,21,0.13333333333333333,0.029711574186519284,0.03820931227640004,9,27,1389044.83,173472.64,5.0,7.0,1.0
SUS0111,Sunita Joshi,19,M,Lucknow,GANG09,Financier,Money Laundering,High,+91-9821920438,2,8,39,0.25,0.061636031857773346,0.09248219753639224,8,27,2409828.97,1282211.0,8.0,6.0,1.0
SUS0112,Meena Nair,25,F,Nagpur,GANG04,Enforcer,Money Laundering,Critical,+91-9337691219,5,8,34,0.25,0.02324009519863818,0.12610931978781015,5,32,712750.64,1569977.79,3.0,5.0,4.0
SUS0113,Meena Shah,38,F,Nagpur,GANG07,Financier,Drug Trafficking,Critical,+91-9426808977,3,11,46,0.2545454545454545,0.03739714648426207,0.07209556696956505,11,26,2558356.41,3121593.26,7.0,3.0,1.0
SUS0114,Deepak Iyer,27,M,Bhopal,GANG08,Recruiter,Kidnapping,Medium,+91-9880179899,1,10,38,0.4,0.025333994034041445,0.06941304117941637,3,29,2463576.6799999997,1987387.78,10.0,6.0,1.0
SUS0115,Priya Singh,50,M,Surat,GANG07,Unknown,Arms Smuggling,Low,+91-9497853519,1,4,20,0.5,0.002084848524721942,0.03105805548713366,11,30,711114.2,1836135.15,6.0,2.0,2.0
SUS0116,Deepak Nair,25,M,Nagpur,GANG06,Associate,Money Laundering,Low,+91-9396225446,1,5,20,0.2,0.005734727919159836,0.08030768108945747,6,23,2488006.38,555157.95,6.0,2.0,0.0
SUS0117,Divya Shah,24,M,Nagpur,GANG04,Associate,Drug Trafficking,Low,+91-9458102728,1,6,24,0.5333333333333333,0.003688100425532491,0.1446188053764222,5,35,745870.19,1573729.88,2.0,1.0,1.0
SUS0118,Sunita Gupta,23,M,Chandigarh,GANG09,Courier,Human Trafficking,High,+91-9350180427,2,6,27,0.2,0.010574500672108236,0.03521710578791366,8,28,854033.51,3417262.5100000002,6.0,4.0,2.0
SUS0119,Sunita Sharma,36,M,Chandigarh,GANG03,Unknown,Arms Smuggling,High,+91-9218032515,5,7,24,0.38095238095238093,0.019127144005360933,0.015477163424042258,2,22,1698626.61,1097294.93,4.0,6.0,4.0
SUS0120,Rohan Sharma,41,M,Ranchi,GANG04,Associate,Drug Trafficking,Low,+91-9156263020,1,6,26,0.3333333333333333,0.00624082051566088,0.10077373835199074,5,26,2205490.44,455856.27,6.0,4.0,1.0
SUS0121,Anil Singh,23,F,Indore,GANG08,Informant,Cyber Fraud,Medium,+91-9337887233,4,6,26,0.4666666666666667,0.0067294489530155925,0.039300156824466886,3,38,1410547.68,973217.51,4.0,8.0,2.0
SUS0122,Sunita Das,38,M,Indore,GANG11,Unknown,Drug Trafficking,Critical,+91-9531233244,3,6,24,0.13333333333333333,0.01805269950998246,0.025189089050522685,9,34,372068.93,1759212.25,2.0,6.0,4.0
